city,last_buy_time,title,house_id,area,publish_time,watch_num,average_price,location,focus_num,community,price,model,link
158,2017-08-01,"104.164966,30.634448",2014-12-31,成华,74.75,https://cd.lianjia.com/ershoufang/106100534482.html,18061,44,蓝 光锦绣 城套二带   装修。  ,蓝光锦绣城四期  , 2室1厅 ,106100534482,1350000.0
79,2017-08-12,"104.006581,30.655362",2008-11-21,武侯,110.92,https://cd.lianjia.com/ershoufang/106100563412.html,14245,44,西郡香林，电梯小区，套三双位。两个阳台,西郡香林  , 3室1厅 ,106100563412,1580000.0
22,2017-08-18,"104.125132,30.657116",2010-10-12,成华,87.82,https://cd.lianjia.com/ershoufang/106100580677.html,17081,27,花样年花郡 套二 朝南 对中庭 客厅带阳台 中等装修,花样年花郡  , 2室1厅 ,106100580677,1500000.0
36,2017-08-13,"104.130334,30.65491",2009-05-01,成华,89.7,https://cd.lianjia.com/ershoufang/106100565961.html,15831,10,标准套二，业主换房诚心卖房，看房提前与我联系,千居朝阳  , 2室1厅 ,106100565961,1420000.0
34,2017-08-09,"104.023527,30.660847",2015-05-12,武侯,121.0,https://cd.lianjia.com/ershoufang/106100555718.html,22315,51,中海龙湾半岛套三中间楼层 正南向 有阳台有入户视野好,中海龙湾半岛  , 3室2厅 ,106100555718,2700000.0
92,2017-07-31,"104.02726398,30.65765471",2005-04-02,武侯,94.34,https://cd.lianjia.com/ershoufang/106100531914.html,13038,101,套二改套三，有装修，电梯四楼，采光不错。,双楠所有阳光  , 3室2厅 ,106100531914,1230000.0
149,2017-07-12,"104.02711378,30.66963733",2010-07-07,青羊,158.38,https://cd.lianjia.com/ershoufang/106100485666.html,17679,94,仁和春天 朝南套三 顶楼带屋顶 对中庭不临街,仁和世代春天  , 3室2厅 ,106100485666,2800000.0
77,2017-07-20,"104.0062766,30.67349508",2011-04-07,青羊,112.74,https://cd.lianjia.com/ershoufang/106100503964.html,15257,22,  二十一世纪花园四期 跃层 套三 顶楼有产权,二十一世纪花园四期  , 3室2厅 ,106100503964,1720000.0
23,2017-08-09,"103.962503,30.676468",2013-12-17,青羊,81.77,https://cd.lianjia.com/ershoufang/106100554385.html,19568,52,凯德 套二 有装修 客厅有阳台 看房有钥匙,凯德风尚  , 2室1厅 ,106100554385,1600000.0
99,2017-07-12,"104.02711378,30.66963733",2010-07-07,青羊,156.61,https://cd.lianjia.com/ershoufang/106100485681.html,17879,93,仁和春天 朝南套三 顶楼带屋顶 对中庭不临街,仁和世代春天  , 3室2厅 ,106100485681,2800000.0
42,2017-08-17,"104.078537,30.556507",2013-07-23,高新,79.37,https://cd.lianjia.com/ershoufang/106100576442.html,20159,54,英郡三期，套二单卫客厅带阳台，高楼层,英郡三期  , 2室2厅 ,106100576442,1600000.0
16,2017-08-03,"104.09188376,30.64318998",2011-08-10,武侯,112.8,https://cd.lianjia.com/ershoufang/106100538730.html,19504,42,和信派都 套3 有装修 有家具家电  朝东北,和信派都  , 3室2厅 ,106100538730,2200000.0
149,2017-08-13,"104.097341,30.708079",2011-05-20,成华,78.46,https://cd.lianjia.com/ershoufang/106100565709.html,13893,45,华宇阳光水岸标准套二出售！！！,华宇阳光水岸  , 2室2厅 ,106100565709,1090000.0
90,2017-02-09,"104.023527,30.660847",2009-12-12,武侯,224.88,https://cd.lianjia.com/ershoufang/106100106473.html,22235,76,龙园不临街四房，装修直接入住，看房方便，位置安静！,中海龙湾半岛  , 4室2厅 ,106100106473,5000000.0
116,2017-08-02,"103.98214,30.673166",2014-07-09,青羊,79.42,https://cd.lianjia.com/ershoufang/106100536941.html,12340,56,清溪雅筑   套二   有装修,清溪雅筑  , 2室2厅 ,106100536941,980000.0
131,2017-08-10,"103.992074,30.689136",2015-02-05,青羊,55.62,https://cd.lianjia.com/ershoufang/106100559323.html,19598,61,小套二 带书房 业主自住装修 保养得很好,蓝光COCO金沙一期  , 2室2厅 ,106100559323,1090000.0
